,CAGR,Vol,Sharpe,MaxDD,CumRet
MVO,0.0670187023804849,0.20363525158200352,0.22120014227242552,-0.21504157744754782,0.25746861847961733
MinVar,0.08994704615260729,0.13685505853170446,0.4854694284768529,-0.11892488165944748,0.4888142733703402
BL-Momentum,0.15080220198105176,0.20652452926661954,0.5872644610792365,-0.2029620691566505,0.8562920166232513
BL-Hardcoded,0.14089004877240785,0.20544005221320216,0.5477766194857735,-0.25032086689727073,0.7775154055741036
RiskParity,0.09998719270907941,0.17523889549096078,0.43185589042412803,-0.20096266021860587,0.5142959325790264
SPY,0.11180967552558996,0.17846847526547233,0.48444677298893934,-0.19900179791340522,0.5960336828642046
